landmark,auc,auc,auc,auc,auc,auc,brier_score,brier_score,brier_score,brier_score,brier_score,brier_score,c_index,likelihood,likelihood,p,n,long_model,surv_model,dataset,train_size,task
,avg,12,24,36,48,60,avg,12,24,36,48,60,avg,avg,nr_zero,,,,,,,
36,0.998204229568741,0.9965281771662324,0.9977621227079988,1.0,1.0,1.0,0.0403263687521332,0.0581834750284237,0.0564948086688953,0.0332660684840668,0.0262798854135717,0.0323459498555745,0.9226190476190476,-0.6950840745194748,0.0,8,1,last_visit,RSF,ADNI,ADNI,Random search
36,1.0,1.0,1.0,1.0,1.0,1.0,0.0154218652699735,0.0374810775418903,0.0032438210103099,0.0252605211992255,0.0101441807908964,0.0085967986170341,0.8988095238095238,-0.6348651360928841,0.0,79,1,RNN,CPH,ADNI,ADNI,Random search
36,0.9579255581471974,0.9200195959256556,1.0,0.9985390890988493,1.0,1.0,0.0323575502730336,0.092174260996397,0.0021151937230804,0.0805644109339685,0.0006214558043797,8.402026501435084e-05,0.8154761904761905,-0.8719806225028167,0.0,1,1,RNN,FNN,ADNI,ADNI,Random search
36,0.9988787025703002,0.9978321583025804,0.9977621227079988,1.0,1.0,1.0,0.0268899700311535,0.06373066952167,0.0404080996380713,0.0072527552887029,0.0154266487121467,0.025214083449716,0.9345238095238096,-0.5886454443739708,0.0,31,1,RNN_long,CPH,ADNI,ADNI,Random search
36,0.8662594553997762,0.8189434976637171,0.9985080818053326,0.9169551244026968,1.0,1.0,0.0479933380327939,0.0921669754458545,0.0361059378027949,0.0531013170267175,0.0334096189379464,0.0465459812815788,0.8392857142857143,-0.7118725087751628,0.0,39,1,RNN_long,FNN,ADNI,ADNI,Random search
36,0.9975297565671816,0.9952241960298844,0.9971219734117054,1.0,1.0,1.0,0.0419679267918372,0.0567345493654063,0.0533714764173216,0.0314328095826394,0.0320549879599886,0.045290317049392,0.8869047619047619,-0.6906191895040179,0.0,11,1,RNN_long,RSF,ADNI,ADNI,Random search
36,1.0,1.0,1.0,1.0,1.0,1.0,0.0229387641374318,0.0271323119650998,0.0244878066638732,0.0189044083684374,0.0211144347761369,0.0273645015174597,0.9285714285714286,-0.6599399528078126,0.0,31,1,RNN,RSF,ADNI,ADNI,Random search
36,0.9354987256422568,0.9898966240848144,0.985593498096086,0.98494204801329,0.8618129130270732,0.8865415790469396,0.1768968803203562,0.0732600625164734,0.1538899456525239,0.1492497249388939,0.2183963986666632,0.2988428415302138,0.9174757281553398,-1.187683460661279,0.0,0,2,last_visit,CPH,ADNI,ADNI,Random search
36,0.926363846335486,0.9886409118378864,0.934461196780888,0.9328730503976896,0.9056976004182395,0.8584687211871677,0.1468549221217408,0.1120979038980948,0.1497081009821254,0.1275156393685438,0.1481105010572487,0.2120729902599957,0.9174757281553398,-1.1241686753617028,0.0,8,2,last_visit,RSF,ADNI,ADNI,Random search
36,0.7960589776327571,0.8342457882951234,0.7649881699147874,0.8077139340792521,0.7114036081122886,0.8643431640956609,0.2375540560035295,0.1851415704098721,0.2320335855088353,0.2025166516290322,0.2614836863665826,0.3232230306094637,0.7427184466019418,-1.3627911907050436,0.0,18,2,RNN,FNN,ADNI,ADNI,Random search
36,0.9045439320087992,0.9511494785673013,0.9833966654176066,0.9444765788865036,0.8280375692434363,0.8381504482405004,0.2199155140627648,0.1864346975130869,0.2130416770018829,0.1797146777644917,0.2435244984469963,0.3003277085622901,0.8252427184466019,-1.337721023621717,0.0,30,2,RNN_long,FNN,ADNI,ADNI,Random search
36,0.9672269774497008,0.9819795985497114,0.9278849932424672,0.93114970739522,0.9809198398072794,0.9759868130887072,0.1740584203145137,0.1239948428830987,0.1687550806720264,0.1484520988436126,0.1871818570475945,0.2596944465065438,0.8689320388349514,-1.1724347796750532,0.0,73,2,RNN_long,RSF,ADNI,ADNI,Random search
36,0.8518764835879555,0.8378511340190511,0.785100894901061,0.90917670524014,0.8840947079807682,0.9079735876138436,0.176449414470856,0.1068046569759589,0.1784848997109526,0.1672898153443727,0.1836339886807742,0.2459732513186907,0.8252427184466019,-1.165718810713942,0.0,54,2,RNN,RSF,ADNI,ADNI,Random search
