landmark,auc,auc,auc,auc,auc,auc,brier_score,brier_score,brier_score,brier_score,brier_score,brier_score,c_index,likelihood,likelihood,n,long_model,surv_model,dataset,train_size,task
,avg,12,24,36,48,60,avg,12,24,36,48,60,avg,avg,nr_zero,,,,,,
48,0.872042625823605,0.8367102654443599,0.8329200491963181,0.886729288822697,0.9300311971085706,0.8365593498334897,0.1964027577202279,0.1208484650567158,0.1100122375869147,0.1820316148680611,0.2567344435713496,0.3528170046524563,0.819672131147541,-1.41253819321885,0.0,2,baseline,CPH,ADNI,ADNI,No
12,0.988653885722578,0.9902649683045582,0.9854698841838012,0.9899477361338794,0.9898469706326832,0.9897969057150742,0.0870680044273552,0.0556945468255708,0.0897134495112546,0.0855273737071716,0.091239457309503,0.1078889275374124,0.8982219497240956,-0.9103366461515294,0.0,3,baseline,CPH,ADNI,ADNI,No
24,0.9796010617351324,0.976453815127082,0.985482560440564,0.985017972828884,0.9847427732344388,0.9816735347764576,0.0886571619101316,0.0658501155683988,0.0706552957088601,0.0775109422035472,0.0964183569120573,0.1542379900637246,0.8640449438202247,-0.6841643887181831,0.0,3,baseline,CPH,ADNI,ADNI,No
36,0.9844793772724604,0.992832387046073,0.9924717259993764,0.9923334417786775,0.9814550116647728,0.9813234729900036,0.0782348694465588,0.022077480960203,0.0372194181299576,0.0637580433776413,0.1341541218849307,0.1335383078272085,0.955,-0.5244008432581972,0.0,3,baseline,CPH,ADNI,ADNI,No
48,0.9937221806951326,,,0.9757855541097976,0.975613802256138,1.0,0.0837603693852199,0.0145780875319314,0.0436186391801761,0.1271916982391492,0.1326410812412121,0.048602030228753,0.8977272727272727,-0.8511732927827512,0.0,3,baseline,CPH,ADNI,ADNI,No
12,0.9258968399035964,0.927826094699513,0.952324154337228,0.920012163691779,0.9148887673208128,0.934781732576816,0.0882780508819377,0.0563230538647213,0.0436677533108564,0.0862965842342698,0.139282703030978,0.1114072720385724,0.8689497716894977,-0.9559870715576048,0.0,4,baseline,CPH,ADNI,ADNI,No
24,0.9237398944241582,1.0,0.9090801396759244,0.9073482613543108,0.932726399297258,0.9324006888695556,0.0936887779128781,0.0089336281205371,0.0654452219713671,0.138305479018622,0.1182855421156216,0.0965041089712661,0.9070048309178744,-0.8960243832224976,0.0,4,baseline,CPH,ADNI,ADNI,No
36,0.9030172261642522,0.8745610163868612,0.8951545379638416,0.926356043700389,0.9259994906951464,0.9255973777880808,0.1197077397318665,0.0650508713892734,0.1489878629180376,0.1383013751973859,0.1090443796347747,0.0999438109652622,0.8920454545454546,-0.9916710926217434,0.0,4,baseline,CPH,ADNI,ADNI,No
48,0.8983289035260388,0.9045884464924226,0.9425356428106074,0.9422574246067016,0.9419436560249584,0.8358219514575763,0.1310189053532603,0.1401183193305335,0.1521217832978036,0.1111914442816391,0.0983412839603615,0.1847239004159405,0.8487394957983193,-1.49178723187045,0.0,4,baseline,CPH,ADNI,ADNI,No
12,0.9313421465625474,0.963969192604796,0.8902159759192324,0.9318264110197664,0.9590482717957792,0.965703605814176,0.0883776845139021,0.0378110692047846,0.0757160583631681,0.1124845972775099,0.1025070524372543,0.0877949907505672,0.8267504488330341,-0.7248221969817207,0.0,5,baseline,CPH,ADNI,ADNI,No
