landmark,auc,auc,auc,auc,auc,auc,brier_score,brier_score,brier_score,brier_score,brier_score,brier_score,c_index,likelihood,likelihood,mse,mse,mse,mse,mse,mse,n,long_model,surv_model,train_size,task
,avg,1,2,3,4,5,avg,1,2,3,4,5,avg,avg,nr_zero,avg,1,2,3,4,5,,,,,
3,0.6520700726895435,0.7093085668405532,0.6709537484858399,0.6329388833166061,0.6088101995933279,0.5905013107634809,0.2013212338177693,0.1040412349938246,0.1695695450680689,0.2140644135039746,0.2430136114217069,0.2532334955608289,0.5713865398669362,-1.8547362598288095,0.0,0.1390910637492051,0.0486449371798011,0.1051812207971584,0.1509547644945235,0.1855072802817056,0.2051671159928372,8,baseline,CPH,1000,No
4,0.5790824506886909,0.6253242814688853,0.5848147538059378,0.564616150039672,0.5467963856116155,0.5340722821265973,0.2150845744262033,0.108103502653813,0.1823965376717015,0.2319508268406531,0.2546660083594625,0.274546347012179,0.5377840929845197,-1.8596438035560297,0.0,0.1538301211117372,0.0517391445823179,0.1188700453631992,0.1707240146153489,0.2033286108188531,0.2244887901789668,8,baseline,CPH,1000,No
1,0.8273456269325035,0.9067991742303128,0.8600649986018681,0.8154836529842682,0.7758727754878185,0.7383101574158186,0.152881587456361,0.078935441271295,0.129208096440172,0.1583021629643274,0.1827414368748378,0.2036138658209185,0.6442263743203198,-1.738813171256646,0.0,0.0859777200451737,0.0246417312981964,0.0581430540544445,0.0891950797232947,0.1171063241746262,0.1408024109753065,9,baseline,CPH,1000,No
2,0.742058704962833,0.8145655275356166,0.7680015020197895,0.7275786861985745,0.6889325327163817,0.6618254058692573,0.179949648218618,0.0972280945511959,0.1502993002960815,0.1879099236367862,0.217069931030951,0.2318107812701109,0.6095300802991169,-1.8054994659316332,0.0,0.1137337769399857,0.0349062978110015,0.0824547783505485,0.1218859238118853,0.1529534342449786,0.1764684504815147,9,baseline,CPH,1000,No
3,0.6540448202521669,0.7135270091990882,0.6734758557880149,0.6338272503482597,0.6091401591882766,0.5908991017704577,0.204675915584885,0.1034790743618916,0.1700799853878067,0.2182305459306238,0.2465764657919401,0.2641542560964474,0.5718829190512799,-1.8750243502509585,0.0,0.1382420318114449,0.0488526135369384,0.1048215752651225,0.150072583383254,0.183683301897197,0.2037800849747123,9,baseline,CPH,1000,No
4,0.5799816545375537,0.6273172108769027,0.5853294755350527,0.5648740595949089,0.5476160733108869,0.5345748939726527,0.2224512443819127,0.1092736815397995,0.1868364075413305,0.2384593213556347,0.2680546771279493,0.2836354614656732,0.5379082866389544,-1.9095716996052008,0.0,0.1531522187997241,0.0516942413510321,0.1180821251001569,0.1700592436002929,0.2026488546299318,0.2232766293172068,9,baseline,CPH,1000,No
1,0.8113449417614155,0.8923301113882006,0.8412549211366386,0.8025794347099389,0.7593887536436658,0.7208584999336258,0.1574700027003086,0.0751700405675045,0.1292710037148647,0.1644614776981449,0.192536803389235,0.2120514114304745,0.6393157714431895,-1.6844671217824516,0.0,0.0880148820766997,0.0224306748432927,0.0569112571091851,0.0920328228588297,0.1223306580251391,0.1463689975470518,0,baseline,RSF,1000,No
2,0.7218661482360461,0.7890173070649728,0.7526784192647485,0.7071100641162584,0.6679627452481111,0.6446862191319911,0.1851173703711439,0.0989600695842199,0.1560819763043987,0.1958706699462338,0.2227055651859687,0.2326624705117284,0.6040692128526313,-1.7508820509261926,0.0,0.1152411463362499,0.0358716521643335,0.0850956402252048,0.1254995664117169,0.155528010940511,0.1742108619394831,0,baseline,RSF,1000,No
3,0.6324096644405983,0.6863841618778884,0.6474914671746069,0.611196820870783,0.594891391805198,0.5797141796739479,0.2007134402244889,0.1058807318369976,0.1721868058991945,0.2159907289185424,0.23749427857509,0.2484831631732599,0.5708123345007261,-1.7848908421358762,0.0,0.1326612411350118,0.0499174872039826,0.1049250141701273,0.1469782218308962,0.1744438039783641,0.1870416784916889,0,baseline,RSF,1000,No
4,0.5613387441228549,0.5897949952408342,0.5609644938083118,0.5549484110989963,0.5457049777404368,0.5318917912609188,0.2044349802967295,0.1079252167558539,0.1789841488016455,0.2202793730125866,0.2396658235592222,0.2496959348710735,0.5371485136941768,-1.7817631338845248,0.0,0.1373866386671383,0.0503586615535047,0.1121961390269493,0.1555723603548966,0.1774475933882991,0.1913584390120415,0,baseline,RSF,1000,No
1,0.8087252217321521,0.8910012841610212,0.8418705255282007,0.7951280130492714,0.7548229482288835,0.7200454763747861,0.1574090053920942,0.0772515373485573,0.1294535206668974,0.1644386554623576,0.1920091823390163,0.2102177888516538,0.6335169666248952,-1.7014123336702691,0.0,0.0904922385906173,0.0230791336853637,0.0585327082132167,0.0955020243751024,0.1265976687666533,0.1487496579127507,1,baseline,RSF,1000,No
2,0.7213743030851066,0.789143760502619,0.746346640730409,0.7076742129479241,0.6729820486117947,0.6441878239737027,0.1824101866444624,0.0977989862563542,0.1537174168921288,0.1928069807353926,0.2181648825605963,0.2321039465231094,0.5982692391019712,-1.761619151343218,0.0,0.1164414107855042,0.0359641392325532,0.0867450461196352,0.1279466314641382,0.156140867757638,0.1754103693535563,1,baseline,RSF,1000,No
3,0.6290076857494095,0.6841884433047748,0.6458121939614694,0.6132862608688249,0.5845675634071726,0.5719423449882904,0.2000742529639416,0.1044205883762383,0.1712030030073998,0.2143060379003867,0.2403677169816839,0.2444199195563539,0.5605573113901464,-1.8073644990807856,0.0,0.134007794598131,0.0504274368059197,0.1070584663897629,0.1478124005393338,0.1756905278539259,0.1890501414017128,1,baseline,RSF,1000,No
4,0.5642953398133262,0.600319972800161,0.5744761289069797,0.5470294014852616,0.5370546781218735,0.5311332905225319,0.2072739005310753,0.1085626855591627,0.1798787925401234,0.2267675232066463,0.242237800992095,0.2518602852117101,0.531393233637486,-1.8243891743088716,0.0,0.1373534000996354,0.0507670739040501,0.1105932025714232,0.1544969133062151,0.1786682361617174,0.1922415745547712,1,baseline,RSF,1000,No
1,0.8110998905437099,0.8932218443244279,0.8427239986312064,0.8004474781027635,0.7601681562033479,0.7176946161812625,0.1592041364106073,0.0765785722233518,0.1302371894548652,0.1665841197529362,0.1940327047256692,0.2153464911945653,0.6388895597362765,-1.662255092004086,0.0,0.0891150785681529,0.0226698008993909,0.0577587080642243,0.0928254697511314,0.1239473240794742,0.1483740900465437,2,baseline,RSF,1000,No
2,0.7196596075105998,0.78585045593234,0.7488218554973796,0.7096951828942281,0.6674989080070228,0.6385699515124664,0.1845479835984677,0.0985040181222606,0.1556521349521501,0.1944251282877503,0.2225538082758124,0.2326177076340555,0.6038199069215993,-1.7257037582374175,0.0,0.1159944925248038,0.0358660367097118,0.0850420600535027,0.1261719991577519,0.1564417844661776,0.1764505822368752,2,baseline,RSF,1000,No
3,0.6261852265885363,0.6889942749557069,0.6454431719641724,0.5979145869938982,0.5813948011577175,0.5692605691154304,0.2007846859610862,0.1048140566021104,0.1719991541303864,0.2169936310533155,0.2385361320637054,0.2464055965917649,0.5666571756688781,-1.762378330665522,0.0,0.1345711436590465,0.049660329552684,0.106728797497418,0.1488999854574802,0.176699110597042,0.1908674951906084,2,baseline,RSF,1000,No
4,0.5539058789672743,0.582661636446711,0.5424515903146083,0.5482719604886624,0.5441580305779683,0.5358457129817258,0.205476339427142,0.1085252209957679,0.1808733686519628,0.2221475937198307,0.2398305687450946,0.2495824321875921,0.5355559127137774,-1.747613746303197,0.0,0.1389791999384662,0.0513598055522417,0.1125857832744075,0.1562237048201579,0.180651284518953,0.194075421526571,2,baseline,RSF,1000,No
